exp,Plot,Treatment,Year,Month,Species,Species.ccesr,Species.LCVP,Aluminum.percent,Boron.percent,Calcium.percent,Carbon.percent,Copper.percent,Iron.percent,Magnesium.percent,Manganese.percent,Nitrogen.percent,Phosphorus.percent,Potassium.percent,Sodium.percent,Sulfur.percent,Zinc.percent
e120,2,Monoculture,2017,Late_July,Lesca,Lespedeza capitata,Lespedeza capitata Michx. ,0.0051,0.002,1.49,46.002,7.999999999999999e-4,0.0059,0.32,0.0155,1.83,0.25,0.61,0.01,0.06,0.0018
e120,5,Monoculture,2017,Late_July,Andge,Andropogon gerardi,Andropogon gerardii Vitman ,0.003,5e-4,0.7100000000000001,43.875,3.0000000000000003e-4,0.0034999999999999996,0.16999999999999998,0.0046,0.8200000000000001,0.22,0.8500000000000001,0.01,0.06999999999999999,0.0021
e120,11,Monoculture,2017,Late_July,Achmi,Achillea millefolium,Achillea millefolium L. ,0.0363,0.003,1.26,41.08,0.001,0.06409999999999999,0.29,0.0183,1.11,0.33,1.63,0.01,0.08,0.0025
e120,16,Monoculture,2017,Late_July,Asctu,Asclepias tuberosa,Asclepias tuberosa L. ,0.0477,0.0017,1.5699999999999998,34.282,0.0018,0.1198,0.49,0.0114,1.68,0.35000000000000003,0.65,0.04,0.18,0.0026999999999999997
e120,20,Monoculture,2017,Late_July,Amoca,Amorpha canescens,Amorpha canescens Pursh ,0.0092,0.0021,1.5,46.244,6.000000000000001e-4,0.0142,0.21,0.0199,1.5,0.22999999999999998,0.72,0.01,0.05,0.0013
e120,27,16-Species,2017,Late_July,Sornu,Sorghastrum nutans,Sorghastrum nutans (L.) Nash ,0.0034999999999999996,6.000000000000001e-4,0.75,43.028,3.0000000000000003e-4,0.0026,0.22,0.0083,0.67,0.21,1.06,0.01,0.05,0.0022
e120,27,16-Species,2017,Late_July,Amoca,Amorpha canescens,Amorpha canescens Pursh ,0.0013,0.0025,1.51,46.944,3.9999999999999996e-4,0.0021,0.16,0.0135,1.38,0.18,1,0.01,0.05,1.9999999999999998e-4
e120,27,16-Species,2017,Late_July,Andge,Andropogon gerardi,Andropogon gerardii Vitman ,0.0028,6.000000000000001e-4,0.58,43.844,3.0000000000000003e-4,0.0025,0.16,0.006,0.45999999999999996,0.16999999999999998,0.7799999999999999,0.01,0.04,9e-4
e120,27,16-Species,2017,Late_July,Asctu,Asclepias tuberosa,Asclepias tuberosa L. ,0.0021,0.0022,2.35,42.27,6.000000000000001e-4,0.0013,0.37,0.0081,1.72,0.25,1.92,0.01,0.06,0.004
e120,27,16-Species,2017,Late_July,Koecr,Koeleria cristata,Koeleria macrantha (Ledeb.) Schult. ,0.0023,6.000000000000001e-4,0.49,42.904,3.9999999999999996e-4,0.0029,0.2,0.0042,0.8200000000000001,0.16,1.0999999999999999,0.01,0.05,0.0013
e120,27,16-Species,2017,Late_July,Lesca,Lespedeza capitata,Lespedeza capitata Michx. ,0.0049,0.002,1.52,45.129,6.000000000000001e-4,0.0039,0.27999999999999997,0.0147,1.1900000000000002,0.16,0.62,0.02,0.02,0.001
e120,27,16-Species,2017,Late_July,Liaas,Liatris aspera,Liatris aspera Michx. ,0.0025,0.0031999999999999997,1.0999999999999999,44.635,1.9999999999999998e-4,0.0042,0.3,0.009600000000000001,0.51,0.11,1.6199999999999999,0.01,0.04,0.0036999999999999997
e120,27,16-Species,2017,Late_July,Monfi,Monarda fistulosa,Monarda fistulosa L. ,0.0019000000000000002,0.0026999999999999997,1.39,44.524,5e-4,0.0033000000000000004,0.25,0.004699999999999999,0.8999999999999999,0.13,1.66,0.01,0.05,0.0011
e120,27,16-Species,2017,Late_July,Petpu,Petalostemum purpureum,Dalea purpurea Vent. ,0.0015999999999999999,0.0021,1.3299999999999998,43.532,3.0000000000000003e-4,0.0029,0.27,0.0060999999999999995,1.27,0.19,0.8999999999999999,0.01,0.04,0.0019000000000000002
e120,27,16-Species,2017,Late_July,Poapr,Poa pratensis,Poa pratensis L. ,0.0021,5e-4,0.49,42.821,9.999999999999999e-5,0.0017,0.2,0.0042,0.64,0.15,1.01,0.01,0.04,5e-4
e120,27,16-Species,2017,Late_July,Schsc,Schizachyrium scoparium,Schizachyrium scoparium (Michx.) Nash ,0.0022,5e-4,0.44,43.861,3.0000000000000003e-4,0.0036999999999999997,0.16999999999999998,0.0043,0.6799999999999999,0.22999999999999998,1.0999999999999999,0.01,0.03,0.0013
e120,27,16-Species,2017,Late_July,Solri,Solidago rigida,Solidago rigida L. ,0.004,0.0053,1.72,41.681,5e-4,0.0072,0.44,0.0087,0.77,0.2,2.98,0.01,0.06,0.0018
e120,29,Monoculture,2017,Late_July,Lesca,Lespedeza capitata,Lespedeza capitata Michx. ,0.0036,0.0018,1.4200000000000002,NA,7.999999999999999e-4,0.0085,0.4,0.0179,2.1399999999999997,0.22999999999999998,0.38999999999999996,0.01,0.16,0.0019000000000000002
e120,31,Monoculture,2017,Late_July,Schsc,Schizachyrium scoparium,Schizachyrium scoparium (Michx.) Nash ,0.0031999999999999997,3.9999999999999996e-4,0.53,42.6565,3.0000000000000003e-4,0.0036,0.13,0.0072,0.62,0.18,0.86,0.01,0.05,0.0019000000000000002
e120,34,16-Species,2017,Late_July,Asctu,Asclepias tuberosa,Asclepias tuberosa L. ,0.0023,0.0024000000000000002,1.35,44.004,3.0000000000000003e-4,0.0038000000000000004,0.16999999999999998,0.0084,1.43,0.22,1.7500000000000002,0.01,0.06,0.0015999999999999999
e120,34,16-Species,2017,Late_July,Koecr,Koeleria cristata,Koeleria macrantha (Ledeb.) Schult. ,0.0045000000000000005,6.000000000000001e-4,0.29,44.3995,1.9999999999999998e-4,0.005,0.09,0.0058,0.49,0.09,0.61,0.02,0.03,0.001
e120,46,16-Species,2017,Late_July,Monfi,Monarda fistulosa,Monarda fistulosa L. ,0.002,0.0028,1.5599999999999998,43.465,3.9999999999999996e-4,0.0029,0.22,0.0053,0.67,0.11,1.71,0.01,0.05,0.001
e120,68,16-Species,2017,Late_July,Solri,Solidago rigida,Solidago rigida L. ,0.0026,0.0029,1.3599999999999999,42.954,3.0000000000000003e-4,0.0031000000000000003,0.26,0.0049,0.5700000000000001,0.16999999999999998,1.7999999999999998,0.01,0.06,7e-4
e120,68,16-Species,2017,Late_July,Sornu,Sorghastrum nutans,Sorghastrum nutans (L.) Nash ,0.0018,6.000000000000001e-4,0.61,43.5805,1.9999999999999998e-4,0.0014,0.16,0.0136,0.6799999999999999,0.2,1.1400000000000001,0.01,0.02,0.0018
e120,68,16-Species,2017,Late_July,Lesca,Lespedeza capitata,Lespedeza capitata Michx. ,0.0036,0.0018,1.41,45.767,6.000000000000001e-4,0.0039,0.2,0.0173,1.39,0.16999999999999998,0.89,0.02,0.05,7.999999999999999e-4
e120,68,16-Species,2017,Late_July,Liaas,Liatris aspera,Liatris aspera Michx. ,0.0015999999999999999,0.0031000000000000003,1.08,45.069,3.0000000000000003e-4,0.0021,0.3,0.0101,0.63,0.11,1.51,0.01,0.04,0.0026
e120,68,16-Species,2017,Late_July,Luppe,Lupinus perennis,Lupinus perennis L. ,0.006200000000000001,0.0023,2.3,42.986,3.0000000000000003e-4,0.0095,0.44,0.0087,0.76,0.09,0.52,0.03,0.04,6.000000000000001e-4
e120,68,16-Species,2017,Late_July,Monfi,Monarda fistulosa,Monarda fistulosa L. ,5e-4,0.0026999999999999997,1.94,43.529,3.9999999999999996e-4,0.0019000000000000002,0.32,0.004699999999999999,0.75,0.12,1.49,0.01,0.05,5e-4
e120,68,16-Species,2017,Late_July,Petpu,Petalostemum purpureum,Dalea purpurea Vent. ,0.0019000000000000002,0.0015999999999999999,1.44,44.458,3.0000000000000003e-4,0.0021,0.18,0.0071,1.29,0.19,1.05,0.01,0.04,0.001
e120,68,16-Species,2017,Late_July,Poapr,Poa pratensis,Poa pratensis L. ,5e-4,5e-4,0.42,43.677,1.9999999999999998e-4,0.0012000000000000001,0.16999999999999998,0.0039,0.79,0.16999999999999998,1.0699999999999998,0.01,0.06,9e-4
e120,68,16-Species,2017,Late_July,Schsc,Schizachyrium scoparium,Schizachyrium scoparium (Michx.) Nash ,0.0013,5e-4,0.5599999999999999,44.248,3.0000000000000003e-4,0.0015,0.16999999999999998,0.0071,0.7799999999999999,0.22999999999999998,1.28,0.01,0.03,0.0014
e120,69,Monoculture,2017,Late_July,Achmi,Achillea millefolium,Achillea millefolium L. ,0.0166,0.0029,1.1900000000000002,42.151,0.001,0.033100000000000004,0.31,0.014100000000000001,1.06,0.38999999999999996,1.46,0.01,0.08,0.0028
e120,82,16-Species,2017,Late_July,Asctu,Asclepias tuberosa,Asclepias tuberosa L. ,0.0031999999999999997,0.0021,1.2,43.749,3.9999999999999996e-4,0.0024000000000000002,0.2,0.0057,1.27,0.24,1.72,0.01,0.09,0.0013
e120,83,Monoculture,2017,Late_July,Luppe,Lupinus perennis,Lupinus perennis L. ,0.0069,0.0015,2.29,42.345,6.000000000000001e-4,0.0104,0.32,0.0075,0.73,0.09,0.44,0.04,0.02,9.999999999999999e-5
e120,87,Monoculture,2017,Late_July,Sornu,Sorghastrum nutans,Sorghastrum nutans (L.) Nash ,0.01,7e-4,0.6799999999999999,43.602,3.9999999999999996e-4,0.019200000000000002,0.22,0.0065,0.65,0.19,0.7799999999999999,0.01,0.06,0.0019000000000000002
e120,92,Monoculture,2017,Late_July,Sornu,Sorghastrum nutans,Sorghastrum nutans (L.) Nash ,0.0058,6.000000000000001e-4,0.75,44.324,3.0000000000000003e-4,0.0072,0.16999999999999998,0.0086,0.8200000000000001,0.16999999999999998,0.9299999999999999,0.01,0.09,0.0015999999999999999
e120,94,Monoculture,2017,Late_July,Lesca,Lespedeza capitata,Lespedeza capitata Michx. ,0.0044,0.0015999999999999999,1.13,46.177,7.999999999999999e-4,0.0055000000000000005,0.27999999999999997,0.0156,1.77,0.22999999999999998,0.61,0.01,0.06,0.0015999999999999999
e120,107,16-Species,2017,Late_July,Amoca,Amorpha canescens,Amorpha canescens Pursh ,0.002,0.003,1.0999999999999999,46.553,3.9999999999999996e-4,0.0014,0.11,0.026,1.67,0.18,1.08,0.01,0.05,6.000000000000001e-4
e120,107,16-Species,2017,Late_July,Andge,Andropogon gerardi,Andropogon gerardii Vitman ,0.0048000000000000004,6.000000000000001e-4,0.66,43.906,1.9999999999999998e-4,0.0049,0.18,0.0051,0.69,0.26,1.0699999999999998,0.01,0.05,0.0015
e120,107,16-Species,2017,Late_July,Koecr,Koeleria cristata,Koeleria macrantha (Ledeb.) Schult. ,0.0038000000000000004,0.001,0.48,43.561,3.0000000000000003e-4,0.0033000000000000004,0.16999999999999998,0.0049,0.83,0.16,0.9299999999999999,0.02,0.04,0.0011
e120,107,16-Species,2017,Late_July,Poapr,Poa pratensis,Poa pratensis L. ,0.0036999999999999997,6.000000000000001e-4,0.35000000000000003,43.462,9.999999999999999e-5,0.0022,0.16,0.0034999999999999996,0.63,0.13999999999999999,0.89,0.01,0.04,3.9999999999999996e-4
