Specid,Specid_5,ccesr_name,funcgroup
Achimill,Achmi,Achillea millefolium(lanulosa),Forb
Amorcane,Amoca,Amorpha canescens,Legume
Andrgera,Andge,Andropogon gerardi,C4_Grass
Ascltube,Asctu,Asclepias tuberosa,Forb
Koelcris,Koecr,Koeleria cristata,C3_Grass
Lespcapi,Lesca,Lespedeza capitata,Legume
Liataspe,Liaas,Liatris aspera,Forb
Lupipere,Luppe,Lupinus perennis,Legume
Monafist,Monfi,Monarda fistulosa,Forb
Panivirg,Panvi,Panicum virgatum,C4_Grass
Petapurp,Petpu,Petalostemum purpureum,Legume
Poaprate,Poapr,Poa pratensis,C3_Grass
Schiscop,Schsc,Schizachyrium scoparium,C4_Grass
Solirigi,Solri,Solidago rigida,Forb
Sorgnuta,Sornu,Sorghastrum nutans,C4_Grass
