Search,name,rank,id
Achillea millefolium,asterids,clade,71274
Amorpha canescens,Fabaceae,family,3803
Andropogon gerardi,Poaceae,family,4479
Asclepias tuberosa,asterids,clade,71274
Koeleria macrantha,Poaceae,family,4479
Lespedeza capitata,Fabaceae,family,3803
Liatris aspera,asterids,clade,71274
Lupinus perennis,Fabaceae,family,3803
Monarda fistulosa,asterids,clade,71274
Panicum virgatum,Poaceae,family,4479
Dalea purpurea,Fabaceae,family,3803
Poa pratensis,Poaceae,family,4479
Schizachyrium scoparium,Poaceae,family,4479
Solidago rigida,asterids,clade,71274
Sorghastrum nutans,Poaceae,family,4479
