Plot,Species,Aluminum,Boron,Calcium,Carbon,Copper,Iron,Magnesium,Manganese,Nitrogen,Phosphorus,Potassium,Sodium,Sulfur,Zinc
11,Achmi,0.0363,0.003,1.26,41.08,0.001,0.06409999999999999,0.29,0.0183,1.11,0.33,1.63,0.01,0.08,0.0025
69,Achmi,0.0166,0.0029,1.1900000000000002,42.151,0.001,0.033100000000000004,0.31,0.014100000000000001,1.06,0.38999999999999996,1.46,0.01,0.08,0.0028
202,Achmi,0.0042,0.004,1.29,42.752,5e-4,0.0068,0.22,0.0085,0.84,0.29,2.69,0.01,0.06,0.0015
220,Achmi,0.0046,0.0036999999999999997,1.09,43.7975,7e-4,0.0067,0.22,0.0109,0.9299999999999999,0.29,2.04,0.01,0.06,0.0019000000000000002
239,Achmi,0.0049,0.0034999999999999996,1.1199999999999999,43.867,5e-4,0.006,0.2,0.0087,0.77,0.25,2.08,0.01,0.04,0.0014
257,Achmi,0.0043,0.0033000000000000004,1.1199999999999999,43.799,7e-4,0.0043,0.18,0.0125,0.89,0.33999999999999997,2.44,0.01,0.05,0.002
273,Achmi,0.004699999999999999,0.0034,1.4200000000000002,42.93,7.999999999999999e-4,0.0036,0.18,0.0091,0.8,0.31,2.59,0.01,0.03,0.0022
20,Amoca,0.0092,0.0021,1.5,46.244,6.000000000000001e-4,0.0142,0.21,0.0199,1.5,0.22999999999999998,0.72,0.01,0.05,0.0013
27,Amoca,0.0013,0.0025,1.51,46.944,3.9999999999999996e-4,0.0021,0.16,0.0135,1.38,0.18,1,0.01,0.05,1.9999999999999998e-4
107,Amoca,0.002,0.003,1.0999999999999999,46.553,3.9999999999999996e-4,0.0014,0.11,0.026,1.67,0.18,1.08,0.01,0.05,6.000000000000001e-4
137,Amoca,0.0022,0.002,1.27,48.315,6.000000000000001e-4,0.0022,0.19,0.012400000000000001,1.4500000000000002,0.24,0.7000000000000001,0.01,0.08,0.0018
220,Amoca,0.0013,0.0026,1.26,47.007,5e-4,0.0031999999999999997,0.11,0.0137,1.54,0.16,0.96,0.01,0.06,5e-4
227,Amoca,0.0011,0.0026,1.0999999999999999,46.929,3.9999999999999996e-4,0.0021,0.13,0.0121,1.4200000000000002,0.13,0.9400000000000001,0.01,0.06999999999999999,0.0011
257,Amoca,0.0031000000000000003,0.0028,1.4500000000000002,46.1265,5e-4,0.0015999999999999999,0.13999999999999999,0.0261,1.53,0.22999999999999998,1.09,0.01,0.05,0.0015999999999999999
5,Andge,0.003,5e-4,0.7100000000000001,43.875,3.0000000000000003e-4,0.0034999999999999996,0.16999999999999998,0.0046,0.8200000000000001,0.22,0.8500000000000001,0.01,0.06999999999999999,0.0021
27,Andge,0.0028,6.000000000000001e-4,0.58,43.844,3.0000000000000003e-4,0.0025,0.16,0.006,0.45999999999999996,0.16999999999999998,0.7799999999999999,0.01,0.04,9e-4
107,Andge,0.0048000000000000004,6.000000000000001e-4,0.66,43.906,1.9999999999999998e-4,0.0049,0.18,0.0051,0.69,0.26,1.0699999999999998,0.01,0.05,0.0015
108,Andge,0.0036,5e-4,0.62,45.186,3.0000000000000003e-4,0.0028,0.18,0.006600000000000001,0.86,0.29,1.13,0.01,0.04,0.0014
109,Andge,0.004,5e-4,0.58,43.987,3.0000000000000003e-4,0.0024000000000000002,0.18,0.004,0.77,0.22999999999999998,0.84,0.01,0.04,0.0017
220,Andge,0.0022,5e-4,0.5499999999999999,44.308,1.9999999999999998e-4,0.0018,0.16999999999999998,0.0045000000000000005,0.76,0.24,1.06,0.01,0.05,0.0017
227,Andge,0.0033000000000000004,7e-4,0.6799999999999999,44.029,3.0000000000000003e-4,0.0014,0.19,0.0049,0.6,0.19,0.96,0.01,0.04,0.0017
16,Asctu,0.0477,0.0017,1.5699999999999998,34.282,0.0018,0.1198,0.49,0.0114,1.68,0.35000000000000003,0.65,0.04,0.18,0.0026999999999999997
27,Asctu,0.0021,0.0022,2.35,42.27,6.000000000000001e-4,0.0013,0.37,0.0081,1.72,0.25,1.92,0.01,0.06,0.004
34,Asctu,0.0023,0.0024000000000000002,1.35,44.004,3.0000000000000003e-4,0.0038000000000000004,0.16999999999999998,0.0084,1.43,0.22,1.7500000000000002,0.01,0.06,0.0015999999999999999
82,Asctu,0.0031999999999999997,0.0021,1.2,43.749,3.9999999999999996e-4,0.0024000000000000002,0.2,0.0057,1.27,0.24,1.72,0.01,0.09,0.0013
239,Asctu,0.0024000000000000002,0.0021,2.16,42.859,5e-4,0.0042,0.33,0.006200000000000001,1.29,0.37,2.18,0.01,0.1,0.0024000000000000002
273,Asctu,0.0036999999999999997,0.0031000000000000003,1.73,42.649,6.000000000000001e-4,0.002,0.24,0.0089,1.55,0.36,2.08,0.01,0.15,0.0023
27,Koecr,0.0023,6.000000000000001e-4,0.49,42.904,3.9999999999999996e-4,0.0029,0.2,0.0042,0.8200000000000001,0.16,1.0999999999999999,0.01,0.05,0.0013
34,Koecr,0.0045000000000000005,6.000000000000001e-4,0.29,44.3995,1.9999999999999998e-4,0.005,0.09,0.0058,0.49,0.09,0.61,0.02,0.03,0.001
107,Koecr,0.0038000000000000004,0.001,0.48,43.561,3.0000000000000003e-4,0.0033000000000000004,0.16999999999999998,0.0049,0.83,0.16,0.9299999999999999,0.02,0.04,0.0011
142,Koecr,0.01,9e-4,0.51,43.608,3.9999999999999996e-4,0.0137,0.19,0.0052,1.05,0.22,0.8,0.01,0.1,0.0019000000000000002
160,Koecr,0.0045000000000000005,5e-4,0.42,43.05,3.0000000000000003e-4,0.004,0.16999999999999998,0.004699999999999999,0.91,0.19,1.3,0.01,0.05,0.0011
164,Koecr,0.0042,6.000000000000001e-4,0.44999999999999996,43.08,3.9999999999999996e-4,0.0026,0.2,0.0060999999999999995,0.88,0.22,1.05,0.01,0.04,0.0015
268,Koecr,0.0107,9e-4,0.6,42.828,3.9999999999999996e-4,0.0167,0.18,0.0072,0.95,0.21,0.8,0.02,0.08,0.0029
2,Lesca,0.0051,0.002,1.49,46.002,7.999999999999999e-4,0.0059,0.32,0.0155,1.83,0.25,0.61,0.01,0.06,0.0018
27,Lesca,0.0049,0.002,1.52,45.129,6.000000000000001e-4,0.0039,0.27999999999999997,0.0147,1.1900000000000002,0.16,0.62,0.02,0.02,0.001
29,Lesca,0.0036,0.0018,1.4200000000000002,NA,7.999999999999999e-4,0.0085,0.4,0.0179,2.1399999999999997,0.22999999999999998,0.38999999999999996,0.01,0.16,0.0019000000000000002
68,Lesca,0.0036,0.0018,1.41,45.767,6.000000000000001e-4,0.0039,0.2,0.0173,1.39,0.16999999999999998,0.89,0.02,0.05,7.999999999999999e-4
