"Species","Local_LeafBladeArea","Local_P.A","Local_P.A.L","Local_SLA_pet_ex","Local_SeedDryMass","Local_Height"
"Achmi",9.370033333,7.625862115,1.547935759,115.5779025,6.25e-05,0.9144
"Amoca",9.630133333,10.9203095,0.492759565,90.78938792,0.0023726,1.2192
"Andge",8.104366667,7.070340957,3.158165697,100.6045416,0.000925,2.4384
"Asctu",6.673888889,2.752107537,2.995940701,160.9413706,0.00717,0.6096
"Koecr",0.726533333,41.02087959,0.31820969,35.70485863,0.0002972,0.4572
"Lesca",7.2058,3.096927118,1.7270093,109.3157053,0.003,0.79248
"Liaas",1.371366667,8.039686304,0.645116148,81.534942,0.0018,1.2192
"Luppe",20.0927,2.746273588,2.774920901,148.7253784,0.029089905,0.6
"Monfi",9.833133333,1.785515034,3.470022008,150.1920737,3e-04,1.49352
"Panvi",7.796016667,7.208762326,3.07238967,110.7149871,0.0021782,1.8288
"Petpu",0.439666667,19.14934871,0.090524033,103.7185604,0.001889968,0.9144
"Poapr",1.004518519,37.61160425,0.375920452,60.30456214,0.0002161,0.4572
"Schsc",2.0316,13.49459028,0.964009131,123.8710476,0.0014,0.9144
"Solri",25.901,1.249482888,11.27718062,97.92309288,0.007268667,1
"Sornu",7.168,8.086917086,2.961299419,89.82187192,0.0012943,1.2192
