Species,funcgroup,funcgroup_noc3,Family,Clade,ccesr_name,Output.Taxon,Aluminum,Boron,Calcium,Carbon,Copper,Iron,Magnesium,Manganese,Nitrogen,Phosphorus,Potassium,Sodium,Sulfur,Zinc,Local_LeafBladeArea,Local_P.A,Local_P.A.L,Local_SLA_pet_ex,Local_SeedDryMass,Local_Height,FineRootDiameter,FineRootTissueDensity,LeafArea,TRY_SLA_pet_ex,TRY_SLA_pet_inc,TRY_SLA_pet_undef,LeafDelta13Carbon,LeafDryMassSingle,LDMC,LeafFreshMass,LeafNitrogen,LeafDelta15Nitrogen,LeafPhoto_area,LeafPhoto_mass,LeafShape,LeafWater,LeafletNum,PlantHeightGen,PlantHeightVeg,Try_SeedDryMass,StomataConductance_area,StomataConductance_mass
Achmi,Forb,Forb,Asteraceae,Asterids,Achillea millefolium(lanulosa),Achillea millefolium L. ,0.0108,0.0034,1.2128571428571429,42.91092857142857,7.428571428571429e-4,0.0178,0.22857142857142856,0.011728571428571428,0.9142857142857143,0.3142857142857143,2.132857142857143,0.01,0.05714285714285714,0.002042857142857143,9.370033333,7.625862115,1.547935759,115.5779025,6.25e-5,0.9144,0.4575340625,0.238732338,592.5391372547866,14.2235977957523,16.54752411363936,14.462571223708343,-29.421750685714287,40.05855406819162,0.2398636711832584,0.14310544303797468,25.530981914036,-2.3529411764705883,15.934576400538761,0.2876417440634685,0.174725,5.732164471554737,1,0.49657508680555557,0.19518067375886525,0.14192483469934858,267.30209707291664,5.648277657461237
Amoca,Legume,Legume,Fabaceae,Fabaceae,Amorpha canescens,Amorpha canescens Pursh ,0.0028857142857142857,0.002514285714285714,1.312857142857143,46.874071428571426,4.857142857142857e-4,0.0038285714285714286,0.15,0.01767142857142857,1.4985714285714287,0.19285714285714284,0.9271428571428572,0.01,0.05857142857142857,0.0010142857142857143,9.630133333,10.9203095,0.492759565,90.78938792,0.0023726,1.2192,0.1938,0.585778,2232.8333333333335,25.89918032867775,16.88540031368357,14.720446901,-27.02,99.76583333333333,0.3920418256328133,0.3061,24.643566639333333,-1.9080000000000001,11.033612742800502,0.224,0.3603,2.4965392312389474,30,0.7029333333333333,0.5435267605633803,1.8333000596177134,233.0000234708995,4.76704559935982
Andge,C4_Grass,Grass,Poaceae,Poaceae,Andropogon gerardi,Andropogon gerardii Vitman ,0.0033857142857142857,5.571428571428572e-4,0.6257142857142857,44.16214285714286,2.7142857142857144e-4,0.0027571428571428573,0.1757142857142857,0.0051,0.7085714285714285,0.22857142857142856,0.9557142857142856,0.01,0.047142857142857146,0.0015714285714285713,8.104366667,7.070340957,3.158165697,100.6045416,9.25e-4,2.4384,0.290065,0.31984250000000003,1262.997111111111,22.7780384870937,17.434907968087362,18.197787036497825,-12.475,76.80666666666667,0.34993729387611877,0.21309155555555556,13.098748958125,-1.0933333333333333,19.461351919210784,0.3107467537419463,0.03755932203389831,3.335742800857333,1,1.459265625,0.7921294339622641,2.432585290584344,199.4696870836178,5.204145835795303
Asctu,Forb,Forb,Apocynaceae,Asterids,Asclepias tuberosa,Asclepias tuberosa L. ,0.010233333333333334,0.002266666666666667,1.7266666666666666,41.6355,7e-4,0.02225,0.3,0.008116666666666666,1.49,0.29833333333333334,1.7166666666666668,0.015,0.10666666666666666,0.0023833333333333332,6.673888889,2.752107537,2.995940701,160.9413706,0.00717,0.6096,0.5,0.22,1143.48,24.2877068512294,17.6076231427353,19.413898973964287,-27.975,62.33,0.22402292875729668,0.22340909090909092,28.799966666666666,0.365,11.3,0.13673,0.20693999999999999,6.597249790447907,1,0.6515609756097561,0.5263780821917808,3.5195950968340233,188,2.2748
Koecr,C3_Grass,Grass,Poaceae,Poaceae,Koeleria cristata,Koeleria macrantha (Ledeb.) Schult. ,0.005714285714285714,7.285714285714286e-4,0.46285714285714286,43.34721428571429,3.4285714285714285e-4,0.006885714285714286,0.17142857142857143,0.0054428571428571425,0.8471428571428572,0.17857142857142858,0.9414285714285714,0.014285714285714285,0.055714285714285716,0.001542857142857143,0.726533333,41.02087959,0.31820969,35.70485863,2.972e-4,0.4572,0.148893333335,0.38172662246,126.31518827160494,12.934632856593325,18.245180114799425,12.048521220009615,-28.542,6.839545454545455,0.3418959787642674,0.014072727272727273,20.475098885712896,-1.198,14.467782369185683,0.22448364875866667,0.033215,3.051481972829,1,0.27625,0.1621766990291262,0.3733468261495602,244.89444444444445,3.4625480300285716
Lesca,Legume,Legume,Fabaceae,Fabaceae,Lespedeza capitata,Lespedeza capitata Michx. ,0.0039625,0.0018124999999999999,1.31,45.89828571428571,6.625e-4,0.004775,0.26125,0.015287499999999999,1.58,0.18875,0.68125,0.015,0.065,0.0012374999999999999,7.2058,3.096927118,1.7270093,109.3157053,0.003,0.79248,0.333275,0.2440045,604.9960377358491,20.88374903438007,12.679935761370798,13.714720204999999,-29.03,46.079802259887,0.3798265646148605,0.1313,22.705878655714287,-1.79125,14.334064787731158,0.17978765937459554,1.0843214285714287,3.055156382598,2,0.7327209302325581,0.9335773515981735,2.762117193968859,297.13660399338625,3.71618656086049
Liaas,Forb,Forb,Asteraceae,Asterids,Liatris aspera,Liatris aspera Michx. ,0.0032375,0.0028,1.24,44.5539375,2.625e-4,0.0034625,0.40125,0.016425,0.6637500000000001,0.10125,1.315,0.01,0.05125,0.0045,1.371366667,8.039686304,0.645116148,81.534942,0.0018,1.2192,0.33586,0.1353135,506,11.93781763111202,10.475200099403704,13.00435132482353,-30.83,21.935,0.260191243502618,0.10326,12.363817470869565,-2.6919999999999997,11.915555555555557,0.12395544770385714,0.102,6.21224068591,1,0.979,0.7860357142857143,1.1691018178727273,220.0142857142857,1.8328826047122857
Luppe,Legume,Legume,Fabaceae,Fabaceae,Lupinus perennis,Lupinus perennis L. ,0.005457142857142857,0.0015857142857142858,1.7357142857142858,43.50335714285714,4.4285714285714284e-4,0.005328571428571428,0.36428571428571427,0.007414285714285714,1.877142857142857,0.20285714285714285,0.9742857142857143,0.01,0.08714285714285715,7.285714285714286e-4,20.0927,2.746273588,2.774920901,148.7253784,0.029089905,0.6,0.34,0.32,1886.848109,21.081,22.450582653175836,18.404347651941176,-29.5,132.4,0.1396701020251912,0.94027,31.68693434357143,-0.7325,16.89665953604226,0.344744,0.6332375,9.983675936794445,9,0.3525,0.24357142857142858,22.451583333333335,586.2127683333333,10.29670036780752
Monfi,Forb,Forb,Lamiaceae,Asterids,Monarda fistulosa,Monarda fistulosa L. ,0.0033714285714285717,0.0029285714285714284,1.6414285714285715,44.39207142857143,4.714285714285714e-4,0.004242857142857143,0.30857142857142855,0.0059,0.8885714285714286,0.15,1.5757142857142856,0.01,0.06714285714285714,0.001257142857142857,9.833133333,1.785515034,3.470022008,150.1920737,3e-4,1.49352,0.27182,0.191791,807.5717525773196,26.50217784816326,19.061833293750155,20.26225272154762,-28.645000000000003,50.002941176470586,0.2508642321346669,0.2046925,16.597702686666665,-0.9925,9.250976666666666,0.18432556891980867,0.42228604651162793,5.07547844571561,1,0.8210357142857143,0.6598004892966362,2.7129310344827586,161.85,2.702308583655
Panvi,C4_Grass,Grass,Poaceae,Poaceae,Panicum virgatum,Panicum virgatum L. ,0.0022166666666666667,3.5e-4,0.4683333333333334,44.24433333333333,3.8333333333333334e-4,0.0025499999999999997,0.19,0.004116666666666667,0.605,0.18666666666666668,0.725,0.01,0.051666666666666666,9.666666666666667e-4,7.796016667,7.2087623260000004,3.07238967,110.7149871,0.0021782,1.8288,0.2428,0.27406600000000003,2101.3844444444444,20.63090606909371,14.107052615375729,21.73370928657355,-12.83,99.37025,0.4644645760369738,0.4437641666666667,16.708745041627086,0.432,17.17947687458326,0.2669172167306349,0.0344,3.9067179066383333,1,0.49350000000000005,0.589365306122449,0.4593541222644055,139.33793553479853,2.6854052433960507
Petpu,Legume,Legume,Fabaceae,Fabaceae,Petalostemum purpureum,Dalea purpurea Vent. ,0.0030875000000000004,0.0017,1.505,44.39585714285714,4.875e-4,0.00325,0.24875,0.0078125,1.5075,0.19625,0.86125,0.01,0.06125,0.002225,0.439666667,19.14934871,0.090524033,103.7185604,0.001889968,0.9144,0.3316,0.19375,100.82142857142857,17.515776762871074,8.959487806765464,12.442500395169356,-27.84,7.700972222222222,0.2967595343218814,0.03065470588235294,21.143333333333334,-2.99,36.6,0.2745,0.637,4.415681292966857,5,0.576,0.40647222222222223,0.7568366666666666,1209,9.06750000000001
Poapr,C3_Grass,Grass,Poaceae,Poaceae,Poa pratensis,Poa pratensis L. ,0.002033333333333333,5.666666666666667e-4,0.43833333333333335,43.658,1.6666666666666666e-4,0.001966666666666667,0.185,0.00475,0.61,0.155,0.9883333333333333,0.01,0.051666666666666666,7.333333333333333e-4,1.004518519,37.61160425,0.375920452,60.30456214,2.161e-4,0.4572,0.4185507142857143,0.29739143755,590.7961496267156,24.524232285258762,19.833521466190422,18.88935088711842,-28.424500000000002,43.550848386694675,0.33005859593405584,0.12778701754385965,18.338872985016316,0.004736842105263162,17.627470118314264,0.372669733415312,0.0720529166625,3.4866906769486272,1,0.5866675531904255,0.2845102776483191,0.2708667942768085,268.30976190476184,5.222475
Schsc,C4_Grass,Grass,Poaceae,Poaceae,Schizachyrium scoparium,Schizachyrium scoparium (Michx.) Nash ,0.002425,4.5e-4,0.5237499999999999,44.0711875,3.125e-4,0.0032874999999999996,0.1725,0.0053125,0.7075,0.20375,1.0462500000000001,0.01,0.05375,0.00145,2.0316,13.49459028,0.964009131,123.8710476,0.0014,0.9144,0.32821666666666666,0.29098403824999997,687.3038095238095,18.740799057281098,17.221052194901326,18.17762664920617,-13.857,35.136584062196306,0.3792099883433704,0.13041214285714287,11.90849986974359,-1.841,14.764039011784241,0.28781511397127857,0.040678125,2.910388895458889,1,0.8376666666666667,0.5488650205761317,0.8801946883553797,142.10052006125358,2.312385304757015
