"var","cor"
"Calcium&Nitrogen&Potassium",0.934425731068012
"Boron&Nitrogen&Sulfur",0.916416150058389
"Calcium&Potassium&LeafletNum",0.907620430366019
"Magnesium&Nitrogen&Potassium",0.907306738716587
"Boron&Nitrogen&Potassium",0.904613102894363
"Boron&Nitrogen&FineRootDiameter",0.902765365695538
"Calcium&Potassium&LeafNitrogen",0.902731610992523
"Boron&Nitrogen&LeafShape",0.902701983111091
"Boron&Carbon&Nitrogen",0.90263159622252
"Boron&Nitrogen&LeafWater",0.90108228722816
"Boron&Potassium&LeafShape",0.897768755435671
"Boron&Calcium&Potassium",0.896925129179417
"Nitrogen&Potassium&LDMC",0.893600385190208
"Calcium&Potassium&TRY_SLA_pet_ex",0.891527192598559
"Nitrogen&Potassium&LeafPhoto_mass",0.883731022773181
"Calcium&Copper&Potassium",0.883011886007435
"Calcium&Carbon&Nitrogen",0.878840135150552
"Boron&Nitrogen&LeafDelta15Nitrogen",0.878745748911861
"Nitrogen&Potassium&FineRootTissueDensity",0.878475627708455
"Boron&TRY_SLA_pet_ex&LeafShape",0.878243145101458
"Calcium&Nitrogen&FineRootDiameter",0.878040952797313
"Calcium&Nitrogen&LeafWater",0.877012356086555
"Boron&Nitrogen&LeafPhoto_mass",0.875201267998711
"Boron&LeafShape&LeafletNum",0.874763286297986
"Aluminum&Boron&Nitrogen",0.873972097441276
"Boron&Manganese&Nitrogen",0.872595378710507
"Boron&Iron&Nitrogen",0.87221340769209
"Boron&Nitrogen&StomataConductance_area",0.871648210891414
"Boron&LeafShape&LeafWater",0.871136702508625
"Nitrogen&Potassium&Zinc",0.869115678409884
"Boron&Copper&Nitrogen",0.869000383112552
"Boron&Nitrogen&Local_SLA_pet_ex",0.868454929471499
"Boron&Nitrogen&LDMC",0.867488988585575
"Nitrogen&Potassium&LeafPhoto_area",0.867383715981005
"Boron&Nitrogen&LeafletNum",0.867363336767475
"Boron&Nitrogen&TRY_SLA_pet_inc",0.864676141516463
"Magnesium&Manganese&Nitrogen",0.864563663302378
"Potassium&Zinc&LeafShape",0.859963248805204
"Calcium&FineRootDiameter&TRY_SLA_pet_ex",0.85929658491042
"Calcium&Nitrogen&Sulfur",0.858862071077033
"Calcium&TRY_SLA_pet_ex&LeafWater",0.858810749290483
"Boron&Calcium&Nitrogen",0.858502581355822
"Boron&Nitrogen&TRY_SLA_pet_ex",0.856617358733731
"Boron&Nitrogen&FineRootTissueDensity",0.855296724878514
"Boron&Nitrogen&Zinc",0.854893071237848
"Boron&Carbon&LeafShape",0.853735389683558
"Calcium&Potassium&LeafShape",0.851251300427231
"Calcium&LeafShape&LeafletNum",0.851167324294094
"Calcium&Nitrogen&LDMC",0.85031769880526
"Calcium&Nitrogen&Sodium",0.847355400527406
"Boron&Nitrogen&Local_SeedDryMass",0.843648355158122
"Boron&Calcium&TRY_SLA_pet_ex",0.842046702826316
"Manganese&Nitrogen&LDMC",0.841926524920471
