"Trait","K","pval","pval.fdr"
"Boron",2.64255605067464,1e-04,0.0021
"Calcium",2.46314013912938,2e-04,0.0028
"Nitrogen",1.81466494125131,4e-04,0.0042
"LeafShape",1.46782987042037,1e-04,0.0021
"LeafDelta13Carbon",1.40389128792369,0.0024,0.0144
"Sulfur",1.0436857991083,0.0029,0.015225
"Potassium",0.977698037971602,0.0019,0.0133
"LeafWater",0.765339777696459,0.0056,0.0261333333333333
"LDMC",0.726500080364825,0.0018,0.0133
"Magnesium",0.715548856901611,0.0087,0.0332181818181818
"Try_SeedDryMass",0.713505146774126,0.1413,0.245388888888889
"Local_SeedDryMass",0.6691050513848,0.1121,0.214009090909091
"Local_P.A",0.649117093431146,0.0342,0.09576
"LeafletNum",0.628463319625478,0.1652,0.2478
"Carbon",0.622223196820008,0.0074,0.03108
"LeafNitrogen",0.569015570060887,0.0133,0.04655
"StomataConductance_area",0.547258764476661,0.1545,0.245388888888889
"Local_SLA_pet_ex",0.499500954980666,0.0286,0.0924
"Manganese",0.489537109248649,0.0605,0.141166666666667
"Copper",0.474730690976912,0.0367,0.0963375
"LeafDelta15Nitrogen",0.464226387444803,0.0321,0.09576
"Iron",0.454284514567963,0.1913,0.277055172413793
"Sodium",0.442445580505125,0.15775,0.245388888888889
"FineRootTissueDensity",0.417798569011225,0.1494,0.245388888888889
"TRY_SLA_pet_inc",0.411955912938919,0.0568,0.140329411764706
"LeafPhoto_mass",0.406328857673693,0.0693,0.15309
"TRY_SLA_pet_undef",0.397014613925267,0.0729,0.15309
"TRY_SLA_pet_ex",0.371822220400047,0.0981,0.1962
"Aluminum",0.340786421919369,0.268,0.37366875
"FineRootDiameter",0.335253635506209,0.1332,0.243234782608696
"Zinc",0.333007211204443,0.2847,0.37366875
"LeafPhoto_area",0.324055805161094,0.3474,0.429141176470588
"StomataConductance_mass",0.2963483282988,0.2968,0.377745454545455
"LeafFreshMass",0.267748471854241,0.4694,0.532832432432432
"Local_LeafBladeArea",0.261103265891119,0.4157,0.49884
"PlantHeightVeg",0.258599098421528,0.2823,0.37366875
"Phosphorus",0.246214723008508,0.4395,0.51275
"Local_P.A.L",0.214841583525699,0.6816,0.705190243902439
"LeafDryMassSingle",0.213190667802481,0.6884,0.705190243902439
"LeafArea",0.211368726932891,0.5214,0.576284210526316
"PlantHeightGen",0.167373291579221,0.6696,0.705190243902439
"Local_Height",0.0938916073648302,0.9085,0.9085
